Sr. No,Title,Rating,Company,City
11,Data Science l Hiring For Harman( A Samsung company) l Bangalore,3.8,Harman Connected Services,Bangalore
12,India Market Unit - Data Science Senior Analyst - 10,4.0,Accenture Solutions Pvt Ltd,Mumbai
13,Business Analyst / Senior Business Analyst - Data Science,3.9,Latent view,Chennai
14,Senior Analyst (Data Science),3.7,Ugam Solutions Pvt Ltd,"Bangalore/Bengaluru, Mumbai (All Areas)"
0,Job Opening For Data Science Lead @ GlobalData (Hyd),3.6,GlobalData,Hyderabad/Secunderabad(Kondapur)
1,Data Science Trainer,4.0,Naresh i Technologies,Hyderabad
2,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
3,Immediate Job Opening For Data Science Manager @ Globaldata (hyd),3.6,GlobalData,Hyderabad/Secunderabad(Kondapur)
4,Data Science Team Lead,4.1,Shell India Markets Private Limited,Chennai
5,Associate Director - Data Science,4.0,Parexel International India Pvt. Ltd.,Hyderabad
6,Data Science Team Lead,4.1,Shell India Markets Private Limited,Chennai
7,Splunk Developer - SQL/Data Science,2.2,CarbyneTech India,Hyderabad
8,Data Science Manager,2.8,Infosenseglobal,"Gandhinagar, Pune"
9,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
10,Data Analytics and Data Science,4.0,ICICI Bank Ltd,Mumbai (All Areas)
11,Data Science Lead,4.0,NatWest Markets,Delhi
12,Data Science Lead,4.0,NatWest Markets,Gurgaon
13,Data Science Lead,4.0,NatWest Markets,Chennai
14,Data Science Lead,3.8,NatWest Group,Delhi
0,Data Science Lead,3.8,NatWest Group,Gurgaon
1,Data Science Lead,3.8,NatWest Group,Chennai
2,Data Science Requirements,4.0,Teamware Solutions,Bangalore
3,Data Science Associate Manager,4.0,Accenture Solutions Pvt Ltd,India
4,Data Science,2.9,Diverse Lynx,Gurgaon
5,Machine Learning Engineer/Data Science,3.9,Cashify,Gurgaon
6,Data Science  /  Machine Learning,3.2,Connect Infosoft Technologies Pvt.Ltd,Faridabad
7,"Data Science Analyst - R, Python",3.8,Larsen & Toubro Infotech Limited,india
8,"Data Science Analyst - R , Python",3.8,Larsen & Toubro Infotech Limited,India
9,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,Senior Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
11,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
0,Data Science - Lead Researcher,3.8,Integra Software Services Pvt. Ltd.,"Pondicherry/Puducherry, Chennai"
1,Data Science - Lead Researcher,3.8,Integra Software Services Pvt. Ltd.,"Pondicherry/Puducherry, Chennai"
2,Data Science Resource - Mumbai,3.6,Bristlecone India Limited,Mumbai
3,"Data Engineer-Azure Data Lake - SQL (healthcare, Life Science)",4.1,Contactx Resource Management Pvt. Ltd.,Bangalore
4,Data Science Digital Data Engineering Practitioner,4.0,Accenture Solutions Pvt Ltd,Mumbai
5,Manager Data Science QuadPay,5.0,BLUCOGNITION PRIVATE LIMITED,"Pune, Bangalore/Bengaluru"
6,"Senior Analyst, Data Science",4.2,TTEC,"Hyderabad, telangana"
7,Chief Architect Data Sciences,3.8,Larsen & Toubro Infotech Limited,Pune
8,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
0,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
2,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
3,Principal Consultant- Data Science,2.5,D-Cube Analytics Private Limited ,"Chennai, Bangalore/Bengaluru"
4,Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
6,Country Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
7,Data Science Engineer,4.6,INTELLIPREDIKT TECHNOLOGIES PRIVATE LIMITED,Bangalore
8,Manager Data Science,3.5,Publicis Groupe,Bangalore
9,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,Data Science Engineer,4.1,Bloom Consulting Services,Bengaluru
11,Data Science & Cloud Analytics,3.2,Brigosha Technologies,Bangalore
0,Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Data Science Practice Manager,4.4,Suyati Technologies Pvt Ltd,"Kochi/Cochin, Bangalore/Bengaluru"
2,Assistant Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
3,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
4,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
6,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
7,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
8,Data Science Consultant,3.7,Burgeon IT Services Pvt ltd,Bengaluru
9,Data Science Quality Assessment Engineer,4.2,Perform Group,Bangalore
10,Data Science Lead,2.5,D Cube Analytics,Bangalore
11,Consultant / Senior Consultant - Data Science,2.5,AbsolutData Research Analytics Solutions Pvt. Lt,"Pune, Gurgaon"
12,Asst.Director -Data Science,5.0,Spectral Consultants,"Noida, Gurgaon/Gurugram, Bangalore/Bengaluru"
0,India Market Unit - Data Science Consultant - 09,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Assistant Professor Data Science & Information Systems,3.8,Krea University,chittoor
2,Data Science/ BI Developer,4.6,Aimbeyond Infotech Pvt Ltd,Noida
3,Data Science Engagement Manager,3.8,Wavicle Data Solutions,Coimbatore
4,Lead Engineer - Data Science (Big Data) | Target,3.8,ANSR GLOBAL CORPORATION PRIVATE LIMITED,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Hyderabad
6,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Hyderabad
7,Manager - DATA Science,5.0,Micron Semiconductor Asia Pte Ltd,Hyderabad
8,Manager - Data Science,4.3,Meritus Intelytics Private Limited,Hyderabad
9,Assistant Manager - Data Science,3.6,Vreedhi Financial Services,"Hyderabad/Secunderabad, telangana"
10,Data Science - Python - SQL,2.9,Diverse Lynx,Hyderabad
0,Senior Manager - Data Science - Sales & Marketing Analytics,4.0,Gladwin Analytics,Mumbai
1,Senior Manager - Data Science,4.0,Gladwin Analytics,Mumbai
2,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
